id,item,conditions,expectancy,particle,start_sentence,R_expression,particle_used,original particle,unexpectedUnfair,selection,continutations_indices,checkbox
66165335968f9,16,6,medium,OH,Diese Woche,diese Woche,ohne,ohne ,unexpected,cont1,"[1, 2, 3]",
66165335968f9,105,dummy,high,dummy,Am Freitag wird sie wahrscheinlich,dummy,dummy,dummy,dummy,cont2,"[1, 2, 3]",
66165335968f9,13,3,high,OH,Jonas ,Jonas ,ohne,ohne,unexpected,cont1,"[3, 1, 2]",
66165335968f9,2,5,medium,EW,Ausgerechnet heute,heute,ausgerechnet,ausgerechnet,unexpected,cont2,"[1, 2, 3]",
66165335968f9,107,dummy,high,dummy,Am Wochenende werden sie wahrscheinlich,dummy,dummy,dummy,dummy,cont3,"[3, 2, 1]",
66165335968f9,18,5,medium,EW,Ausgerechnet Christian,Christian,ausgerechnet,ausgerechnet,unexpected,cont3,"[1, 3, 2]",
66165335968f9,14,2,high,EW,Genau an diesem Tag,an diesem Tag,genau,genau,unexpected,cont2,"[1, 2, 3]",
66165335968f9,11,5,medium,EW,Gerade dann,dann,gerade,gerade,unexpected,cont1,"[2, 1, 3]",
66165335968f9,8,1,high,RA,Auch Moritz,Moritz,auch ,auch,unexpected,cont1,"[3, 1, 2]",
66165335968f9,12,4,medium,RA,Auch Lisa,Lisa,auch,auch,unexpected,,"[1, 3, 2]",{'jQuery111107070001985600296': 61}
66165335968f9,108,dummy,medium,dummy,Heute wird er wahrscheinlich,dummy,dummy,dummy,dummy,cont3,"[1, 3, 2]",
66165335968f9,29,4,medium,RA,Nur sein neues Handy,sein neues Handy,nur,nur,unexpected and unfair,cont1,"[1, 3, 2]",
66165335968f9,101,dummy,high,dummy,Gestern,dummy,dummy,dummy,dummy,cont1,"[2, 3, 1]",
66165335968f9,23,3,high,OH,Jetzt,jetzt,ohne,ohne,unfair,cont1,"[1, 2, 3]",
66165335968f9,9,6,medium,OH,Einen Tag vor dem Abflug,einen Tag vor dem Abflug,ohne,ohne ,unexpected,cont1,"[2, 3, 1]",
66165335968f9,103,dummy,high,dummy,Am Sonntag wird wahrscheinlich,dummy,dummy,dummy,dummy,cont3,"[2, 3, 1]",
66165335968f9,106,dummy,medium,dummy,Heute wird er wahrscheinlich,dummy,dummy,dummy,dummy,cont2,"[1, 3, 2]",
66165335968f9,30,3,high,OH,Heute,heute ,ohne,ohne,unexpected and unfair,cont1,"[3, 1, 2]",
66165335968f9,28,5,medium,EW,Genau er,er,genau,genau,unexpected,cont3,"[1, 3, 2]",
66165335968f9,1,6,medium,OH,Peter,Peter,ohne,ohne,unexpected,cont2,"[2, 3, 1]",
