id,missed_break_one,missed_break_two,missed_break_three,time_in_minutes,language,asses,age,gender,comments,fluent
63fdf81c98173,False,False,False,29.62325,"englisch, deutsch",Yes,16,Female,,Yes
63fdf8380d0f5,False,False,False,28.722283333333333,Deutsch,Yes,16,Female,,Yes
63fdf83e66d6a,False,False,False,28.293316666666666,deutsch,Yes,16,Female,,No
63fdf8584a781,False,False,False,179.84001666666666,Deutsch,Yes,16,Female,war ein aufschlussreiches Experiment,Yes
63fdf8858d70c,False,False,False,176.36385,Deutsch,Yes,17,Female,,Yes
63fdf8a80512a,False,False,False,183.40816666666666,Deutsch,Yes,16,Female,,Yes
63fdf8ce78363,False,False,False,179.14773333333332,Deutsch,Yes,16,Female,,Yes
63fdf8d1488b1,False,False,False,179.3777,Deutsch,Yes,16,Male,,Yes
63fdf8ee0510b,False,False,False,176.32013333333333,deutsch,Yes,16,Female,,Yes
63fdf8efb8f7c,False,False,False,32.28626666666667,Deutsch,Yes,18,Male,,Yes
63fdf9b9042a4,False,False,False,181.30045,Deutsch,Yes,17,Male,wirkt interessant,Yes
