id,item,conditions,expectancy,particle,start_sentence,R_expression,particle_used,original particle,unexpectedUnfair,selection,continutations_indices,checkbox
63fdcb5104a7c,29,6,medium,OH,Sein neues Handy,sein neues Handy,ohne,ohne,unexpected and unfair,cont2,"[3, 2, 1]",
63fdcb5104a7c,12,6,medium,OH,Lisa,Lisa,ohne,ohne,unexpected,cont1,"[1, 2, 3]",
63fdcb5104a7c,1,2,high,EW,Ausgerechnet Peter,Peter,ausgerechnet,ausgerechnet,unexpected,cont1,"[2, 1, 3]",
63fdcb5104a7c,4,5,medium,EW,Gerade Chefarzt Neugebauer,Chefarzt Neugebauer,gerade,gerade,unexpected,cont2,"[3, 1, 2]",
63fdcb5104a7c,21,6,medium,OH,Heute,heute ,ohne,ohne ,unexpected,cont2,"[2, 1, 3]",
63fdcb5104a7c,32,4,medium,RA,Auch diese Tabletten,diese Tabletten,auch,auch,unexpected and unfair,cont3,"[3, 2, 1]",
63fdcb5104a7c,23,5,medium,EW,Gerade jetzt,jetzt,gerade,gerade,unfair,cont2,"[2, 3, 1]",
63fdcb5104a7c,2,1,high,RA,Auch heute,heute,auch,auch,unexpected,cont3,"[1, 2, 3]",
63fdcb5104a7c,13,5,medium,EW,Gerade Jonas,Jonas ,gerade,gerade,unexpected,cont3,"[1, 3, 2]",
63fdcb5104a7c,18,1,high,RA,Nur Christian,Christian,nur,nur,unexpected,cont3,"[1, 2, 3]",
63fdcb5104a7c,14,4,medium,RA,Nur an diesem Tag,an diesem Tag,bloß,bloß,unexpected,cont1,"[2, 1, 3]",
63fdcb5104a7c,8,3,high,OH,Moritz ,Moritz,ohne,ohne ,unexpected,cont1,"[3, 2, 1]",
63fdcb5104a7c,15,3,high,OH,Dann,dann,ohne,ohne,unexpected,cont2,"[3, 1, 2]",
63fdcb5104a7c,17,2,high,EW,Ausgerechnet diese Münze,diese Münze,ausgerechnet,ausgerechnet,unexpected,cont3,"[1, 3, 2]",
63fdcb5104a7c,28,1,high,RA,Sogar er ,er,sogar,sogar,unexpected and unfair,cont2,"[3, 2, 1]",
63fdcb5104a7c,25,3,high,OH,Simon,Simon,ohne,ohne,unexpected,cont2,"[1, 3, 2]",
63fdcb5104a7c,16,2,high,EW,Eben diese Woche,diese Woche,eben,eben,unexpected,cont3,"[2, 1, 3]",
63fdcb5104a7c,30,5,medium,EW,Gerade heute ,heute ,gerade,gerade,unexpected and unfair,cont2,"[3, 2, 1]",
63fdcb5104a7c,33,3,high,OH,Dieser Podcast,diese Podcast,ohne,ohne,unexpected,cont2,"[2, 1, 3]",
63fdcb5104a7c,11,1,high,RA,Erst dann,dann,erst,erst,unexpected,cont3,"[1, 2, 3]",
63fdcb5104a7c,24,4,medium,RA,Auch Robert,Robert,auch,auch,unexpected,cont2,"[1, 3, 2]",
63fdcb5104a7c,3,6,medium,OH,Tims Volvo ,Tims Volvo,ohne,ohne,unexpected  and unfair,cont2,"[3, 1, 2]",
63fdcb5104a7c,9,2,high,EW,Ausgerechnet einen Tag vor dem Abflug,einen Tag vor dem Abflug,ausgerechnet,ausgerechnet,unfair,cont1,"[1, 3, 2]",
63fdcb5104a7c,6,4,medium,RA,Auch Nadja,Nadja,auch,auch,unexpected,cont3,"[1, 2, 3]",
63fdcb54a589e,4,4,medium,RA,Nur Chefarzt Neugebauer,Chefarzt Neugebauer,nur,nur,unexpected,cont1,"[3, 1, 2]",
63fdcb54a589e,18,6,medium,OH,Christian ,Christian,ohne,ohne ,unexpected,cont2,"[1, 3, 2]",
63fdcb54a589e,32,3,high,OH,Diese Tabletten ,diese Tabletten,ohne,ohne,unexpected and unfair,cont1,"[3, 1, 2]",
63fdcb54a589e,21,5,medium,EW,Eben heute,heute ,eben,eben,unexpected,cont1,"[3, 2, 1]",
63fdcb54a589e,16,1,high,RA,Nur diese Woche,diese Woche,nur,nur,unexpected,cont3,"[3, 2, 1]",
63fdcb54a589e,9,1,high,RA,Sogar einen Tag vor dem Abflug,einen Tag vor dem Abflug,sogar,sogar,unfair,cont1,"[1, 3, 2]",
