id,item,conditions,expectancy,particle,start_sentence,R_expression,particle_used,original particle,unexpectedUnfair,selection,continutations_indices,checkbox
661657b742fe0,1,1,high,RA,Nur Peter,Peter,nur,nur,unexpected,cont1,"[1, 2, 3]",
661657b742fe0,13,4,medium,RA,Sogar Jonas,Jonas ,sogar,sogar,unexpected,cont3,"[1, 2, 3]",
661657b742fe0,16,1,high,RA,Nur diese Woche,diese Woche,nur,nur,unexpected,cont2,"[3, 1, 2]",
661657b742fe0,29,5,medium,EW,Ausgerechnet sein neues Handy,sein neues Handy,ausgerechnet,ausgerechnet,unexpected and unfair,cont3,"[1, 3, 2]",
661657b742fe0,12,5,medium,EW,Ausgerechnet Lisa,Lisa,ausgerechnet,ausgerechnet,unexpected,cont3,"[1, 2, 3]",
661657b742fe0,15,2,high,EW,Genau dann,dann,genau,genau,unexpected,cont2,"[1, 2, 3]",
661657b742fe0,3,5,medium,EW,Ausgerechnet Tims Volvo,Tims Volvo,ausgerechnet,ausgerechnet,unexpected  and unfair,cont2,"[2, 1, 3]",
661657b742fe0,8,2,high,EW,Ausgerechnet Moritz,Moritz,ausgerechnet,ausgerechnet,unexpected,cont2,"[1, 2, 3]",
661657b742fe0,102,dummy,high,dummy,Die Niederlande,dummy,dummy,dummy,dummy,cont2,"[3, 2, 1]",
661657b742fe0,108,dummy,high,dummy,Er wird vielleicht,dummy,dummy,dummy,dummy,cont3,"[3, 1, 2]",
661657b742fe0,14,3,high,OH,An diesem Tag,an diesem Tag,ohne,ohne,unexpected,cont1,"[3, 2, 1]",
661657b742fe0,21,5,medium,EW,Eben heute,heute ,eben,eben,unexpected,cont2,"[2, 3, 1]",
661657b742fe0,106,dummy,high,dummy,Er wird vielleicht,dummy,dummy,dummy,dummy,cont1,"[2, 3, 1]",
661657b742fe0,18,6,medium,OH,Christian ,Christian,ohne,ohne ,unexpected,cont1,"[2, 1, 3]",
661657b742fe0,6,3,high,OH,Nadja,Nadja,ohne,ohne ,unexpected,cont3,"[1, 2, 3]",
661657b742fe0,9,1,high,RA,Sogar einen Tag vor dem Abflug,einen Tag vor dem Abflug,sogar,sogar,unfair,cont3,"[1, 3, 2]",
661657b742fe0,4,4,medium,RA,Nur Chefarzt Neugebauer,Chefarzt Neugebauer,nur,nur,unexpected,cont3,"[3, 2, 1]",
